"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"18555";"http://pedregosa.local/img/p/3/5/5/355.jpg";"Cartucho de tóner original LaserJet HP 826A cian para Laserjet Enterprise serie M855";"CF311A";"TONER IMPRESORA";"431.500000";"522.12";"1000";"1";
"8521";"http://pedregosa.local/img/p/8/4/8/6/8486.jpg";"Brother Cinta laminada amarillo/negro 12mm";"TZe-631";"";"9.940000";"12.03";"1000";"1";
"11862";"http://pedregosa.local/img/p/7/2/6/0/7260.jpg";"OKI C-5850/5950/MC560 Toner Magenta 6k";"43865722";"";"165.290000";"200";"1000";"1";
"21461";"http://pedregosa.local/img/p/8/2/9/5/8295.jpg";"Toner RICOH 1224/1232 CIAN (TYPE M2)";"885324";"";"138.180000";"167.2";"1000";"1";
"15747";"http://pedregosa.local/img/p/5/4/9/3/5493.jpg";"Canon PIXMA/PRO-100 Cartucho Foto Cian CLI-42";"6388B001";"";"10.970000";"13.27";"1000";"1";
"33624";"http://pedregosa.local/img/p/3/7/4/5/3745.jpg";"SAMSUNG SL-C4010ND IMPRESORA LASER COLOR A4";"SL-C4010ND";"IMPRESORAS";"611.400000";"739.79";"1000";"1";
"200272";"http://pedregosa.local/img/p/9/3/7/2/9372.jpg";"Cartucho de tinta Original HP 935 Magenta para HP OfficeJet Pro 6230, 6830";"C2P21AE";"TINTA IMPRESORA";"10.140496";"12.27";"1000";"0";
"12028";"http://pedregosa.local/img/p/6/8/3/1/6831.jpg";"KYOCERA-MITA FS1100/1100N Toner TK-140";"1T02H50EUC";"";"65.430000";"79.17";"1000";"1";
"13059";"http://pedregosa.local/img/p/6/3/9/3/6393.jpg";"Brother HL-4570CDW Toner Amarillo 6.000 pag.";"TN-328Y";"";"138.940000";"168.12";"1000";"1";
"24023";"http://pedregosa.local/img/p/9/1/7/5/9175.jpg";"Brother Cinta laminada transparente/negro 18mm";"TX-141";"";"21.780000";"26.35";"1000";"1";
"30939";"http://pedregosa.local/img/p/5/9/3/3/5933.jpg";"Epson SureColor serie SC-P Tanque de mantenimiento";"C13T699700";"";"25.060000";"30.32";"1000";"1";
"6606";"http://pedregosa.local/img/p/3/0/7/4/3074.jpg";"HP Designjet 1050C/1055C/C Plus. Cabezal Magenta + Limpiador";"C4822A";"TINTA IMPRESORA";"154.817600";"187.33";"1000";"0";
"3224";"http://pedregosa.local/img/p/3/4/1/341.jpg";"Cartucho de tóner Original LaserJet HP 42A negro para Laserjet 4250 y 4350";"Q5942A";"TONER IMPRESORA";"146.670000";"177.47";"1000";"1";
"13277";"http://pedregosa.local/img/p/4/0/4/9/4049.jpg";"Cartucho de tóner Original HP 128A Magenta para HP LaserJet Pro Color CP1525n , CP1525nw HP LaserJet Pro CM1415fn , CM1415fnw";"CE323A";"TONER IMPRESORA";"54.130000";"65.5";"1000";"1";
"15195";"http://pedregosa.local/img/p/7/2/4/4/7244.jpg";"OKI C831/C841 Toner Negro";"44844508";"";"77.310000";"93.55";"1000";"1";
"31402";"http://pedregosa.local/img/p/3/9/9/3/3993.jpg";"BROTHER IMPRESORA LASER MONOCROMO HL-L5200DW";"HL-L5200DW";"LASER MONOCROMO";"228.640000";"276.65";"1000";"0";
